Table;Field;English;Portuguese(Brazil);Spanish;"English Tooltips";"Portuguese(Brazil) Tooltips";"Spanish Tooltips";"English Placeholders";"Portuguese(Brazil) Placeholders";"Spanish Placeholders"
tb_atividade;;Tasks;Tarefas;Tareas;;;;;;
tb_atividade;ativ_id;ID;ID;ID;;;;;;
tb_atividade;clie_id;Client;Cliente;Cliente;;;;"Name without spaces. eg: TIPO_NAT";"Nome sem espaços. ex: TIPO_NAT";
tb_atividade;ativ_nm;Name;Nome;Nombre;;;;"Order number";"Ordem Sequencial";
tb_atividade;ativ_ds;Description;Descrição;Descripción;;;;"String without spaces (en)";"Nome sem espaços. ex: ATIVA";
tb_atividade;lista_id;List;Lista;Lista;;;;"Display name";"Nome de exibição: ex: Ativo Ok";
tb_atividade;stat_id;Status;Status;Estado;;;;;;
tb_atividade;ativ_fl_ativo;Active?;Ativo?;¿Activo?;;;;;;
tb_atividade;ativ_prioridade;Priority;Prioridade;Prioridad;;;;;;
tb_atividade;ativ_concluida;Completed;Concluída;Terminado;;;;;;
tb_atividade;ativ_dt_ini;"Start date";"Data Início";"Fecha de inicio";;;;;;
tb_atividade;ativ_dt_fim;"End Date";"Data Fim";"Fecha final";;;;;;
tb_atividade;ativ_domi_unid_tempo;"Time Unit";"Unid Tempo";"Ativ Domi Unid Tempo";;;;;;
tb_atividade;ativ_tempo_estimado;"Estimated Time";"Tempo Estimado";"Ativ Tempo Estimado";;;;;;
tb_atividade;ativ_tempo_real;"Time Spent";"Tempo Real";"Ativ Tempo Real";;;;;;
tb_atividade;inclu_login;"Included by";"Incluído por";"Inclu Login";;;;;;
tb_atividade;inclu_dt;"Included on";"Incluído em";"Incluido en";;;;;;
tb_atividade;alter_login;"Changed by";"Alterado por";"Alter Login";;;;;;
tb_atividade;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_clientes;;Customers;Clientes;Clientes;;;;;;
tb_clientes;clie_id;ID;ID;ID;;;;;;
tb_clientes;clie_nm_reduzido;Name;Nome;Nombre;;;;;;
tb_clientes;clie_email;Email;Email;"Correo electrónico";;;;;;
tb_clientes;clie_endereco;Address;Endereço;"Habla a";;;;;;
tb_clientes;clie_pais;Country;País;Padres;;;;;;
tb_clientes;clie_domi_status;Status;Status;"Estado del dominio";;;;;;
tb_clientes;clie_nm_completo;"Full name";"Nome Completo";"Nombre completo";;;;;;
tb_clientes;clie_fones_contato;"Contact Phones";"Fones de Contato";"Auriculares de contacto";;;;;;
tb_clientes;inclu_login;"Included by";"Incluído por";"Inclu Login";;;;;;
tb_clientes;inclu_dt;"Included on";"Incluído em";"Incluido en";;;;;;
tb_clientes;alter_login;"Changed by";"Alterado por";"Alter Login";;;;;;
tb_clientes;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_clientes_planos;;"Customer Plans";"Planos de Clientes";"Planes de clientes";;;;;;
tb_clientes_planos;clipla_id;ID;ID;ID;;;;;;
tb_clientes_planos;clie_id;Customer;Cliente;"Identificación del cliente";;;;;;
tb_clientes_planos;plan_id;Plan;Plano;"ID plana";;;;;;
tb_clientes_planos;clipla_dt_vigenc_ini;"Effective Date Start";"Dt Vigência Iní";"Fecha de inicio efectiva";;;;;;
tb_clientes_planos;clipla_dt_vigenc_fim;"Final Effective Date";"Dt Vigência Fim";"Fecha de vigencia final";;;;;;
tb_clientes_planos;clipla_vl;"Month Value";"Valor Mensal";"Cantidad del plan";;;;;;
tb_clientes_planos;inclu_login;"Included by";"Incluído por";"Inclu Login";;;;;;
tb_clientes_planos;inclu_dt;"Included on";"Incluído em";"Incluido en";;;;;;
tb_clientes_planos;alter_login;"Changed by";"Alterado por";"Alter Login";;;;;;
tb_clientes_planos;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_dominios;;Domains;Domínios;Dominios;;;;;;
